"5%","20%","50%","80%","95%"
"1",10,9,7,3,3
"2",19,16,12,7,6
"3",27,22,17,13,9
"4",33,29,23,19,15
"5",40,35,29,24,20
"6",47,41,35,29,24
"7",54,47,41,35,29
"8",61,54,47,40,34
"9",67,60,53,45,39
"10",75,66,59,51,44
"11",80,72,64,56,50
"12",87,79,70,62,55
"13",94,85,76,67,60
"14",100,91,82,73,66
"15",107,97,87,79,71
"16",113,103,93,84,76
"17",120,110,100,90,81
"18",126,116,105,95,87
"19",133,122,111,101,91
